"ZGAVID","ZGAIT","ZGAN8","ZGCO","ZGUKID","ZGAIPR","ZGDTI","ZGRMK","ZGAA1","ZGAA2","ZGUSER","ZGPID","ZGUPMJ","ZGUPMT","ZGJOBN"
40,"22",105403,"00001",0,"4",109314,"                              ",1218000000,0,"MESTUPINAN","B03B0068.C",109314,134824,"INDBOENT  "
41,"22",105851,"00000",0,"4",109327,"                              ",1800000,0,"MESTUPINAN","B03B0068.C",109327,83028,"INDBOENT  "
42,"22",105852,"00000",0,"4",109327,"                              ",1800000,0,"MESTUPINAN","B03B0068.C",109327,84554,"INDBOENT  "
43,"22",105939,"00000",0,"4",109334,"                              ",204000000,24000000,"MESTUPINAN","B03B0068.C",109334,85506,"INDBOENT  "
44,"22",105938,"00001",0,"4",109334,"                              ",0,204000000,"MESTUPINAN","B03B0068.C",109334,91132,"INDBOENT  "
45,"22",105941,"00000",0,"4",109334,"                              ",80554061,0,"MESTUPINAN","B03B0068.C",109334,93334,"INDBOENT  "
46,"22",105940,"00001",0,"4",109334,"                              ",0,80554061,"MESTUPINAN","B03B0068.C",109334,94213,"INDBOENT  "
47,"22",106002,"00000",0,"4",109337,"                              ",4524000,0,"MESTUPINAN","B03B0068.C",109337,134914,"INDBOENT  "
48,"22",106003,"00000",0,"4",109337,"                              ",25868000,0,"MESTUPINAN","B03B0068.C",109337,141403,"INDBOENT  "
49,"22",103389,"00000",0,"4",109348,"                              ",343190852800,0,"MESTUPINAN","B03B0068.C",109348,143143,"INDBOENT  "
50,"22",106412,"00000",0,"4",110012,"                              ",11600000,0,"MESTUPINAN","B03B0068.C",110012,140335,"INDBOENT  "
51,"22",106416,"00000",0,"4",110013,"                              ",111437523,0,"MESTUPINAN","B03B0068.C",110013,72908,"INDBOENT  "
52,"22",106260,"00001",0,"4",110018,"                              ",0,7310000,"MESTUPINAN","B03B0068.C",110018,102755,"INDBOENT  "
53,"22",106527,"00000",0,"4",110020,"                              ",15720000000,0,"MESTUPINAN","B03B0068.C",110020,120141,"INDBOENT  "
54,"22",106527,"00001",0,"4",110020,"                              ",157200000,0,"MESTUPINAN","B03B0068.C",110020,121242,"INDBOENT  "
55,"22",106529,"00000",0,"4",110020,"                              ",5327431836,0,"MESTUPINAN","B03B0068.C",110020,143903,"INDBOENT  "
56,"22",106530,"00000",0,"4",110020,"                              ",157200000,0,"MESTUPINAN","B03B0068.C",110020,145902,"INDBOENT  "
57,"22",106886,"00001",0,"4",110049,"                              ",6842577427,0,"MESTUPINAN","B03B0068.C",110049,170218,"INDBOENT  "
58,"22",107333,"00001",0,"4",110070,"                              ",0,1600000,"MESTUPINAN","B03B0068.C",110070,163047,"INDBOENT  "
59,"22",106874,"00000",0,"4",110146,"                              ",19000000000,0,"MESTUPINAN","B03B0068.C",110146,144221,"INDBOENT  "
60,"22",108669,"00000",0,"4",110155,"                              ",85000000,0,"MESTUPINAN","B03B0068.C",110155,140759,"INDBOENT  "
61,"22",110244,"00000",0,"4",110225,"                              ",9000000,0,"MESTUPINAN","B03B0068.C",110225,73509,"INDBOENT  "
62,"22",110245,"00000",0,"4",110225,"                              ",1200000,0,"MESTUPINAN","B03B0068.C",110225,75930,"INDBOENT  "
63,"22",110246,"00000",0,"4",110225,"                              ",7804000,0,"MESTUPINAN","B03B0068.C",110225,81240,"INDBOENT  "
64,"22",10061,"00003",0,"4",112037,"                              ",3259997063,0,"JPGOMEZ   ","B03B0068.C",112037,173324,"INDBOENT  "
65,"22",132308,"00003",0,"4",112312,"                              ",0,3,"PHUERTAS  ","B03B0068.C",112312,165652,"INDBOENT  "
66,"20",10081,"00001",0,"1",117045,"                              ",8291890,0,"AHOLAYA   ","B03B0068.C",117045,155446,"INDBOENT  "
67,"20",106260,"00001",0,"1",117045,"                              ",0,0,"AHOLAYA   ","B03B0068.C",117045,155448,"INDBOENT  "
68,"20",125062,"00001",0,"1",117045,"                              ",0,0,"AHOLAYA   ","B03B0068.C",117045,155449,"INDBOENT  "
69,"20",10081,"00001",0,"1",119079,"                              ",8291890,0,"INDUBE    ","B03B0068.C",119079,104312,"INDBOENT  "
70,"20",106260,"00001",0,"1",119079,"                              ",0,0,"INDUBE    ","B03B0068.C",119079,104313,"INDBOENT  "
71,"20",125062,"00001",0,"1",119079,"                              ",0,0,"INDUBE    ","B03B0068.C",119079,104313,"INDBOENT  "
72,"20",10061,"00001",0,"1",119079,"                              ",3259997063,0,"INDUBE    ","B03B0068.C",119079,115338,"INDBOENT  "
73,"20",10062,"00001",0,"1",119079,"                              ",189563609,0,"INDUBE    ","B03B0068.C",119079,115339,"INDBOENT  "
74,"20",10063,"00001",0,"1",119079,"                              ",417854147,0,"INDUBE    ","B03B0068.C",119079,115339,"INDBOENT  "
75,"20",10064,"00001",0,"1",119079,"                              ",378972000,0,"INDUBE    ","B03B0068.C",119079,115339,"INDBOENT  "
76,"20",10064,"00003",0,"1",119079,"                              ",378972000,0,"INDUBE    ","B03B0068.C",119079,115339,"INDBOENT  "
77,"20",10066,"00001",0,"1",119079,"                              ",0,0,"INDUBE    ","B03B0068.C",119079,115339,"INDBOENT  "
78,"20",10067,"00001",0,"1",119079,"                              ",0,0,"INDUBE    ","B03B0068.C",119079,115339,"INDBOENT  "
79,"20",10068,"00001",0,"1",119079,"                              ",0,0,"INDUBE    ","B03B0068.C",119079,115339,"INDBOENT  "
80,"20",10069,"00001",0,"1",119079,"                              ",0,0,"INDUBE    ","B03B0068.C",119079,115339,"INDBOENT  "
81,"20",10070,"00001",0,"1",119079,"                              ",0,0,"INDUBE    ","B03B0068.C",119079,115339,"INDBOENT  "
82,"20",10071,"00001",0,"1",119079,"                              ",0,0,"INDUBE    ","B03B0068.C",119079,115339,"INDBOENT  "
83,"20",10072,"00001",0,"1",119079,"                              ",0,0,"INDUBE    ","B03B0068.C",119079,115339,"INDBOENT  "
84,"20",10073,"00001",0,"1",119079,"                              ",0,0,"INDUBE    ","B03B0068.C",119079,115339,"INDBOENT  "
85,"20",10074,"00001",0,"1",119079,"                              ",0,0,"INDUBE    ","B03B0068.C",119079,115339,"INDBOENT  "
86,"20",10075,"00001",0,"1",119079,"                              ",0,0,"INDUBE    ","B03B0068.C",119079,115339,"INDBOENT  "
87,"20",10078,"00001",0,"1",119079,"                              ",8291890,0,"INDUBE    ","B03B0068.C",119079,115339,"INDBOENT  "
88,"20",10079,"00001",0,"1",119079,"                              ",8779338,0,"INDUBE    ","B03B0068.C",119079,115339,"INDBOENT  "
89,"20",10080,"00001",0,"1",119079,"                              ",8779338,0,"INDUBE    ","B03B0068.C",119079,115339,"INDBOENT  "
90,"20",10081,"00001",0,"1",119079,"                              ",8291890,0,"INDUBE    ","B03B0068.C",119079,115339,"INDBOENT  "
91,"20",35002,"00001",0,"1",119079,"                              ",188363712,0,"INDUBE    ","B03B0068.C",119079,115340,"INDBOENT  "
92,"20",35005,"00001",0,"1",119079,"                              ",5000000,0,"INDUBE    ","B03B0068.C",119079,115340,"INDBOENT  "
93,"20",35007,"00001",0,"1",119079,"                              ",525500000,0,"INDUBE    ","B03B0068.C",119079,115340,"INDBOENT  "
94,"20",35022,"00001",0,"1",119079,"                              ",296029831,0,"INDUBE    ","B03B0068.C",119079,115340,"INDBOENT  "
95,"20",35025,"00001",0,"1",119079,"                              ",12000000,0,"INDUBE    ","B03B0068.C",119079,115340,"INDBOENT  "
96,"20",35030,"00001",0,"1",119079,"                              ",4000000,0,"INDUBE    ","B03B0068.C",119079,115340,"INDBOENT  "
97,"20",35031,"00001",0,"1",119079,"                              ",232859832,0,"INDUBE    ","B03B0068.C",119079,115340,"INDBOENT  "
98,"20",35033,"00001",0,"1",119079,"                              ",4000000,0,"INDUBE    ","B03B0068.C",119079,115340,"INDBOENT  "
99,"20",35034,"00001",0,"1",119079,"                              ",9500000,0,"INDUBE    ","B03B0068.C",119079,115340,"INDBOENT  "
100,"20",35035,"00001",0,"1",119079,"                              ",17000000,0,"INDUBE    ","B03B0068.C",119079,115340,"INDBOENT  "
101,"20",35038,"00001",0,"1",119079,"                              ",11200000,0,"INDUBE    ","B03B0068.C",119079,115340,"INDBOENT  "
102,"20",35042,"00001",0,"1",119079,"                              ",1340000000,0,"INDUBE    ","B03B0068.C",119079,115340,"INDBOENT  "
103,"20",35043,"00001",0,"1",119079,"                              ",0,0,"INDUBE    ","B03B0068.C",119079,115340,"INDBOENT  "
104,"20",35047,"00001",0,"1",119079,"                              ",9221000,0,"INDUBE    ","B03B0068.C",119079,115340,"INDBOENT  "
105,"20",35051,"00001",0,"1",119079,"                              ",1600000,0,"INDUBE    ","B03B0068.C",119079,115340,"INDBOENT  "
106,"20",35053,"00001",0,"1",119079,"                              ",2400000,0,"INDUBE    ","B03B0068.C",119079,115340,"INDBOENT  "
107,"20",35055,"00001",0,"1",119079,"                              ",7310000,0,"INDUBE    ","B03B0068.C",119079,115340,"INDBOENT  "
108,"20",35057,"00001",0,"1",119079,"                              ",0,0,"INDUBE    ","B03B0068.C",119079,115340,"INDBOENT  "
109,"20",35060,"00001",0,"1",119079,"                              ",0,0,"INDUBE    ","B03B0068.C",119079,115340,"INDBOENT  "
110,"20",35062,"00001",0,"1",119079,"                              ",0,0,"INDUBE    ","B03B0068.C",119079,115340,"INDBOENT  "
111,"20",35063,"00001",0,"1",119079,"                              ",0,0,"INDUBE    ","B03B0068.C",119079,115340,"INDBOENT  "
112,"20",35065,"00001",0,"1",119079,"                              ",9000000,0,"INDUBE    ","B03B0068.C",119079,115340,"INDBOENT  "
113,"20",35066,"00001",0,"1",119079,"                              ",12500000,0,"INDUBE    ","B03B0068.C",119079,115340,"INDBOENT  "
114,"20",35067,"00001",0,"1",119079,"                              ",5000000,0,"INDUBE    ","B03B0068.C",119079,115340,"INDBOENT  "
